Month,Price,Change
11/1/10,2333.07,-
12/1/10,2350.67,0.75%
1/1/11,2439.53,3.78%
2/1/11,2508.18,2.81%
3/1/11,2555.5,1.89%
4/1/11,2678.11,4.80%
5/1/11,2596.45,-3.05%
6/1/11,2557.76,-1.49%
7/1/11,2525.43,-1.26%
8/1/11,2379.35,-5.78%
9/1/11,2293.46,-3.61%
10/1/11,2180.65,-4.92%
11/1/11,2079.98,-4.62%
12/1/11,2022.25,-2.78%
1/1/12,2144.2,6.03%
2/1/12,2207.92,2.97%
3/1/12,2184.16,-1.08%
4/1/12,2049.67,-6.16%
5/1/12,2007.63,-2.05%
6/1/12,1890.18,-5.85%
7/1/12,1876.25,-0.74%
8/1/12,1845.38,-1.65%
9/1/12,2064.12,11.85%
10/1/12,1974.3,-4.35%
11/1/12,1948.83,-1.29%
12/1/12,2086.76,7.08%
1/1/13,2037.75,-2.35%
2/1/13,2053.6,0.78%
3/1/13,1909.57,-7.01%
4/1/13,1861.67,-2.51%
5/1/13,1832.02,-1.59%
6/1/13,1814.54,-0.95%
7/1/13,1769.61,-2.48%
8/1/13,1817.62,2.71%
9/1/13,1761.3,-3.10%
10/1/13,1814.58,3.03%
11/1/13,1747.96,-3.67%
12/1/13,1739.81,-0.47%
1/1/14,1727.41,-0.71%
2/1/14,1695.17,-1.87%
3/1/14,1705.37,0.60%
4/1/14,1810.67,6.17%
5/1/14,1751.05,-3.29%
6/1/14,1838.95,5.02%
7/1/14,1948.3,5.95%
8/1/14,2030.49,4.22%
9/1/14,1990.43,-1.97%
10/1/14,1946.19,-2.22%
11/1/14,2055.55,5.62%
12/1/14,1909.46,-7.11%
1/1/15,1814.72,-4.96%
2/1/15,1817.82,0.17%
3/1/15,1773.86,-2.42%
4/1/15,1819.19,2.56%
5/1/15,1804.04,-0.83%
6/1/15,1687.73,-6.45%
7/1/15,1639.5,-2.86%
8/1/15,1548.13,-5.57%
9/1/15,1589.6,2.68%
10/1/15,1516.49,-4.60%
11/1/15,1467.89,-3.20%
12/1/15,1497.2,2.00%
1/1/16,1481.1,-1.08%
2/1/16,1531.26,3.39%
3/1/16,1531.01,-0.02%
4/1/16,1571.23,2.63%
5/1/16,1550.63,-1.31%
6/1/16,1593.51,2.77%
7/1/16,1629.05,2.23%
8/1/16,1639.28,0.63%
9/1/16,1592.36,-2.86%
10/1/16,1665.9,4.62%
11/1/16,1737.11,4.27%
12/1/16,1727.74,-0.54%
1/1/17,1791.24,3.68%
2/1/17,1860.75,3.88%
3/1/17,1901.47,2.19%
4/1/17,1921.22,1.04%
5/1/17,1913.02,-0.43%
6/1/17,1885.29,-1.45%
7/1/17,1902.96,0.94%
8/1/17,2030.01,6.68%
9/1/17,2096.49,3.27%
10/1/17,2131.49,1.67%
11/1/17,2097.44,-1.60%
12/1/17,2080.47,-0.81%
1/1/18,2209.73,6.21%
2/1/18,2181.79,-1.26%
3/1/18,2069.24,-5.16%
4/1/18,2254.69,8.96%
5/1/18,2299.67,1.99%
6/1/18,2237.62,-2.70%
7/1/18,2082.24,-6.94%
8/1/18,2051.51,-1.48%
