Month,Price
11/1/10,"8,469.89"
12/1/10,"9,147.26"
1/1/11,"9,555.70"
2/1/11,"9,867.60"
3/1/11,"9,503.36"
4/1/11,"9,492.79"
5/1/11,"8,959.90"
6/1/11,"9,066.85"
7/1/11,"9,650.46"
8/1/11,"9,000.76"
9/1/11,"8,300.14"
10/1/11,"7,394.19"
11/1/11,"7,581.02"
12/1/11,"7,565.48"
1/1/12,"8,040.47"
2/1/12,"8,441.49"
3/1/12,"8,470.78"
4/1/12,"8,289.48"
5/1/12,"7,955.64"
6/1/12,"7,423.02"
7/1/12,"7,584.26"
8/1/12,"7,515.53"
9/1/12,"8,087.74"
10/1/12,"8,062.03"
11/1/12,"7,711.23"
12/1/12,"7,966.49"
1/1/13,"8,047.36"
2/1/13,"8,060.93"
3/1/13,"7,645.58"
4/1/13,"7,234.28"
5/1/13,"7,249.41"
6/1/13,"7,000.24"
7/1/13,"6,906.64"
8/1/13,"7,192.92"
9/1/13,"7,159.27"
10/1/13,"7,203.02"
11/1/13,"7,070.65"
12/1/13,"7,214.90"
1/1/14,"7,291.47"
2/1/14,"7,149.21"
3/1/14,"6,650.04"
4/1/14,"6,673.56"
5/1/14,"6,891.13"
6/1/14,"6,821.14"
7/1/14,"7,113.38"
8/1/14,"7,001.84"
9/1/14,"6,872.22"
10/1/14,"6,737.48"
11/1/14,"6,712.85"
12/1/14,"6,446.45"
1/1/15,"5,830.54"
2/1/15,"5,729.27"
3/1/15,"5,939.67"
4/1/15,"6,042.09"
5/1/15,"6,294.78"
6/1/15,"5,833.01"
7/1/15,"5,456.75"
8/1/15,"5,127.30"
9/1/15,"5,217.25"
10/1/15,"5,216.09"
11/1/15,"4,799.90"
12/1/15,"4,638.83"
1/1/16,"4,471.79"
2/1/16,"4,598.62"
3/1/16,"4,953.80"
4/1/16,"4,872.74"
5/1/16,"4,694.54"
6/1/16,"4,641.97"
7/1/16,"4,864.90"
8/1/16,"4,751.67"
9/1/16,"4,722.20"
10/1/16,"4,731.26"
11/1/16,"5,450.93"
12/1/16,"5,660.35"
1/1/17,"5,754.56"
2/1/17,"5,940.91"
3/1/17,"5,824.63"
4/1/17,"5,683.90"
5/1/17,"5,599.56"
6/1/17,"5,719.76"
7/1/17,"5,985.12"
8/1/17,"6,485.63"
9/1/17,"6,577.17"
10/1/17,"6,807.60"
11/1/17,"6,826.55"
12/1/17,"6,833.89"
1/1/18,"7,065.85"
2/1/18,"7,006.52"
3/1/18,"6,799.18"
4/1/18,"6,851.51"
5/1/18,"6,825.27"
6/1/18,"6,965.86"
7/1/18,"6,250.75"
8/1/18,"6,051.05"
9/1/18,"6,050.76"
10/1/18,"6,219.59"
11/1/18,"6,195.92"
12/1/18,"6,075.32"
1/1/19,"5,939.10"
2/1/19,"6,300.49"
3/1/19,"6,439.46"
4/1/19,"6,438.36"
5/1/19,"6,017.90"
6/1/19,"5,882.23"
7/1/19,"5,941.20"
8/1/19,"5,709.44"
9/1/19,"5,759.25"
10/1/19,"5,757.30"
11/1/19,"5,859.95"
12/1/19,"6,077.06"
1/1/20,"6,031.21"
2/1/20,"5,687.75"
3/1/20,"5,182.63"
4/1/20,"5,057.97"
5/1/20,"5,239.83"
6/1/20,"5,754.60"
7/1/20,"6,372.46"
8/1/20,"6,498.94"
9/1/20,"6,704.90"
10/1/20,"6,713.81"
11/1/20,"7,068.91"
12/1/20,"7,772.24"
1/1/21,"7,972.15"
2/1/21,"8,470.94"
3/1/21,"8,988.25"
4/1/21,"9,324.82"
5/1/21,"10,161.97"
6/1/21,"9,631.50"
7/1/21,"9,450.82"
8/1/21,"9,370.14"
9/1/21,"9,324.71"
10/1/21,"9,829.22"
11/1/21,"9,728.90"
12/1/21,"9,551.18"
1/1/22,"9,782.34"
2/1/22,"9,943.17"
3/1/22,"10,230.89"
4/1/22,"10,161.38"
5/1/22,"9,377.15"
6/1/22,"9,024.46"
7/1/22,"7,544.81"
8/1/22,"7,981.84"
9/1/22,"7,746.01"
10/1/22,"7,651.08"
11/1/22,"8,049.86"
12/1/22,"8,375.40"
1/1/23,"9,037.95"
2/1/23,"8,936.59"
3/1/23,"8,856.31"
4/1/23,"8,809.42"
5/1/23,"8,217.47"
6/1/23,"8,396.52"
7/1/23,"8,476.68"
8/1/23,"8,349.13"
9/1/23,"8,276.71"
10/1/23,"7,937.18"
11/1/23,"8,189.59"
12/1/23,"8,399.94"
1/1/24,"8,338.88"
2/1/24,"8,304.95"
3/1/24,"8,689.13"
4/1/24,"9,464.43"
5/1/24,"10,139.33"
6/1/24,"9,648.17"
7/1/24,"9,385.31"
8/1/24,"8,971.96"
9/1/24,"9,237.48"
10/1/24,"9,533.99"
11/1/24,"9,075.73"
12/1/24,"8,916.32"
1/1/25,"8,991.41"
2/1/25,"9,330.60"
3/1/25,"9,739.68"
4/1/25,"9,176.80"
5/1/25,"9,532.98"
6/1/25,"9,835.07"
